,date,playlist_type,avg_popularity,artist,num_distinct_songs
284,2023-11-04,Top,49.0,ICEGUYS,3
285,2023-11-04,Viral,43.333333333333336,IRONTOM,3
286,2023-11-04,Top,81.28571428571429,IVE,3
287,2023-11-04,Top,81.0,Israel & Rodolffo,3
288,2023-11-04,Top,56.333333333333336,Iuly Neamtu,3
289,2023-11-04,Top,59.333333333333336,Jasmin Moallem,3
290,2023-11-04,Top,89.0,Junior H,3
291,2023-11-04,Top,7.0,KOJO,3
292,2023-11-04,Top,55.666666666666664,Kabza De Small,3
293,2023-11-04,Top,88.0,Kanye West,3
294,2023-11-04,Top,80.0,Ke Personajes,3
295,2023-11-04,Viral,82.52941176470588,Ken Carson,3
296,2023-11-04,Top,68.0,LILA,3
297,2023-11-04,Top,35.666666666666664,LON3R JOHNY,3
298,2023-11-04,Top,67.0,Light,3
299,2023-11-04,Top,50.666666666666664,Medi,3
300,2023-11-04,Top,89.75,Miley Cyrus,3
301,2023-11-04,Top,68.0,Mohbad,3
302,2023-11-04,Top,75.0,Morad,3
303,2023-11-04,Top,64.0,Muslim - مُسلِم,3
304,2023-11-04,Top,72.66666666666667,Nadin Amizah,3
305,2023-11-04,Top,90.0,NewJeans,3
306,2023-11-04,Viral,68.33333333333333,ODUMODUBLVCK,3
307,2023-11-04,Top,59.0,OFFICIAL HIGE DANDISM,3
308,2023-11-04,Top,65.33333333333333,Obito,3
309,2023-11-04,Top,69.66666666666667,PRO8L3M,3
310,2023-11-04,Top,67.33333333333333,RACK,3
311,2023-11-04,Top,67.0,RPT MCK,3
312,2023-11-04,Top,60.0,STEIN27,3
313,2023-11-04,Viral,66.16666666666667,Ski Aggu,3
314,2023-11-04,Viral,35.666666666666664,The Saint Cecilia,3
315,2023-11-04,Top,87.0,Troye Sivan,3
316,2023-11-04,Top,57.333333333333336,Tuna,3
317,2023-11-04,Top,55.666666666666664,V $ X V PRiNCE,3
318,2023-11-04,Viral,68.0,Viktor Sheen,3
319,2023-11-04,Top,80.5,Vishal Mishra,3
320,2023-11-04,Top,66.66666666666667,Wren Evans,3
321,2023-11-04,Top,60.0,YAKTAK,3
322,2023-11-04,Top,69.0,Young Jonn,3
323,2023-11-04,Top,73.66666666666667,Yuuri,3
324,2023-11-04,Top,35.666666666666664,villemdrillem,3
325,2023-11-04,Viral,51.666666666666664,ששון איפרם שאולוב,3
326,2023-11-05,Top,62.0,ANNA ASTI,3
327,2023-11-05,Top,81.75,AP Dhillon,3
328,2023-11-05,Top,71.66666666666667,Ado,3
329,2023-11-05,Top,82.0,Alfredo Olivas,3
330,2023-11-05,Viral,77.14634146341463,Andrew Gold,3
331,2023-11-05,Viral,72.66666666666667,Anirudh Ravichander,3
332,2023-11-05,Top,70.0,Ant Wan,3
333,2023-11-05,Top,61.666666666666664,Artigeardit,3
334,2023-11-05,Top,58.0,Asme,3
335,2023-11-05,Viral,89.375,Bizarrap,3
336,2023-11-05,Top,58.0,Blaqbonez,3
337,2023-11-05,Top,59.0,Bo9al,3
338,2023-11-05,Top,58.0,Bogdan DLP,3
339,2023-11-05,Top,70.33333333333333,Bolaget,3
340,2023-11-05,Top,77.0,Burna Boy,3
341,2023-11-05,Top,65.0,D1MA,3
342,2023-11-05,Viral,75.22222222222223,Dani Flow,3
343,2023-11-05,Top,74.0,Diljit Dosanjh,3
344,2023-11-05,Viral,32.0,Dj LDU,3
345,2023-11-05,Top,61.666666666666664,Draganov,3
346,2023-11-05,Viral,90.47058823529412,Drake,3
347,2023-11-05,Top,59.0,Ekhoe,3
348,2023-11-05,Top,46.666666666666664,Emanuela,3
349,2023-11-05,Top,66.66666666666667,Eric Chou,3
350,2023-11-05,Top,76.66666666666667,Geolier,3
351,2023-11-05,Top,86.0,Gusttavo Lima,3
352,2023-11-05,Viral,61.666666666666664,HIEUTHUHAI,3
353,2023-11-05,Top,55.333333333333336,Hanan Ben Ari,3
354,2023-11-05,Top,79.66666666666667,Henrique & Juliano,3
355,2023-11-05,Viral,75.0,Hev Abi,3
356,2023-11-05,Top,49.0,ICEGUYS,3
357,2023-11-05,Viral,43.333333333333336,IRONTOM,3
358,2023-11-05,Top,81.28571428571429,IVE,3
359,2023-11-05,Top,81.0,Israel & Rodolffo,3
360,2023-11-05,Top,56.333333333333336,Iuly Neamtu,3
361,2023-11-05,Top,59.333333333333336,Jasmin Moallem,3
362,2023-11-05,Top,73.2,Jazeek,3
363,2023-11-05,Top,89.0,Junior H,3
364,2023-11-05,Top,35.0,KOJO,3
365,2023-11-05,Top,88.0,Kanye West,3
366,2023-11-05,Top,80.0,Ke Personajes,3
367,2023-11-05,Viral,82.62857142857143,Ken Carson,3
368,2023-11-05,Top,77.33333333333333,King,3
369,2023-11-05,Top,68.0,LILA,3
370,2023-11-05,Top,49.333333333333336,LON3R JOHNY,3
371,2023-11-05,Top,67.0,Light,3
372,2023-11-05,Top,59.0,Lwah Ndlunkulu,3
373,2023-11-05,Top,88.66666666666667,Miley Cyrus,3
374,2023-11-05,Top,35.666666666666664,Mohammed Saeed,3
375,2023-11-05,Top,68.0,Mohbad,3
376,2023-11-05,Viral,86.71428571428571,Mora,3
377,2023-11-05,Top,75.33333333333333,Morad,3
378,2023-11-05,Top,86.4,Morgan Wallen,3
379,2023-11-05,Top,72.66666666666667,Nadin Amizah,3
380,2023-11-05,Top,90.0,NewJeans,3
381,2023-11-05,Viral,68.33333333333333,ODUMODUBLVCK,3
382,2023-11-05,Top,59.0,OFFICIAL HIGE DANDISM,3
383,2023-11-05,Top,66.0,Obito,3
384,2023-11-05,Top,69.66666666666667,PRO8L3M,3
385,2023-11-05,Top,67.33333333333333,RACK,3
386,2023-11-05,Top,58.0,RAVA,3
387,2023-11-05,Top,67.0,RPT MCK,3
388,2023-11-05,Top,60.0,STEIN27,3
389,2023-11-05,Viral,79.88888888888889,Saiko,3
390,2023-11-05,Viral,76.21739130434783,Sherine,3
391,2023-11-05,Viral,35.666666666666664,The Saint Cecilia,3
392,2023-11-05,Top,62.666666666666664,Tobias Rahim,3
393,2023-11-05,Top,55.666666666666664,V $ X V PRiNCE,3
394,2023-11-05,Top,47.666666666666664,V:RGO,3
395,2023-11-05,Viral,68.0,Viktor Sheen,3
396,2023-11-05,Top,80.5,Vishal Mishra,3
397,2023-11-05,Top,67.33333333333333,Wren Evans,3
398,2023-11-05,Top,60.0,YAKTAK,3
399,2023-11-05,Top,69.0,Young Jonn,3
400,2023-11-05,Top,73.66666666666667,Yuuri,3
401,2023-11-05,Top,81.0,Zé Neto & Cristiano,3
402,2023-11-05,Top,42.0,villemdrillem,3
403,2023-11-05,Viral,51.666666666666664,ששון איפרם שאולוב,3
404,2023-11-06,Top,62.25,ANNA ASTI,3
405,2023-11-06,Top,81.75,AP Dhillon,3
406,2023-11-06,Top,71.66666666666667,Ado,3
407,2023-11-06,Top,82.0,Alfredo Olivas,3
408,2023-11-06,Viral,77.14634146341463,Andrew Gold,3
409,2023-11-06,Viral,73.0,Anirudh Ravichander,3
410,2023-11-06,Top,70.0,Ant Wan,3
411,2023-11-06,Top,93.94736842105263,Arctic Monkeys,3
412,2023-11-06,Top,58.666666666666664,Asme,3
413,2023-11-06,Top,79.0,BLOK3,3
414,2023-11-06,Viral,89.375,Bizarrap,3
415,2023-11-06,Top,58.333333333333336,Blaqbonez,3
416,2023-11-06,Top,59.0,Bo9al,3
417,2023-11-06,Top,58.0,Bogdan DLP,3
418,2023-11-06,Top,70.33333333333333,Bolaget,3
419,2023-11-06,Top,75.6,Burna Boy,3
420,2023-11-06,Top,65.0,D1MA,3
421,2023-11-06,Viral,75.22222222222223,Dani Flow,3
422,2023-11-06,Top,74.75,Diljit Dosanjh,3
423,2023-11-06,Viral,32.0,Dj LDU,3
424,2023-11-06,Top,62.0,Draganov,3
425,2023-11-06,Viral,90.47058823529412,Drake,3
426,2023-11-06,Top,59.0,Ekhoe,3
427,2023-11-06,Top,59.333333333333336,ElGrandeToto,3
428,2023-11-06,Top,46.666666666666664,Emanuela,3
429,2023-11-06,Top,54.0,FRIENDLY THUG 52 NGG,3
430,2023-11-06,Top,76.66666666666667,Geolier,3
431,2023-11-06,Top,86.0,Gusttavo Lima,3
432,2023-11-06,Viral,62.0,HIEUTHUHAI,3
433,2023-11-06,Top,55.333333333333336,Hanan Ben Ari,3
434,2023-11-06,Top,80.0,Henrique & Juliano,3
435,2023-11-06,Viral,75.0,Hev Abi,3
436,2023-11-06,Top,69.0,Humlan Djojj,3
437,2023-11-06,Top,49.333333333333336,ICEGUYS,3
438,2023-11-06,Viral,43.333333333333336,IRONTOM,3
439,2023-11-06,Top,81.85714285714286,IVE,3
440,2023-11-06,Top,81.33333333333333,Israel & Rodolffo,3
441,2023-11-06,Top,56.333333333333336,Iuly Neamtu,3
442,2023-11-06,Top,59.666666666666664,Jasmin Moallem,3
443,2023-11-06,Top,73.8,Jazeek,3
444,2023-11-06,Top,67.33333333333333,Josman,3
445,2023-11-06,Top,89.0,Junior H,3
446,2023-11-06,Viral,82.62857142857143,Ken Carson,3
447,2023-11-06,Top,77.66666666666667,King,3
448,2023-11-06,Top,68.33333333333333,LILA,3
449,2023-11-06,Top,52.333333333333336,LON3R JOHNY,3
450,2023-11-06,Top,67.0,Light,3
451,2023-11-06,Top,59.333333333333336,Lwah Ndlunkulu,3
452,2023-11-06,Top,89.75,Miley Cyrus,3
453,2023-11-06,Top,67.66666666666667,Mohbad,3
454,2023-11-06,Viral,86.71428571428571,Mora,3
455,2023-11-06,Top,75.33333333333333,Morad,3
456,2023-11-06,Top,86.4,Morgan Wallen,3
457,2023-11-06,Top,72.66666666666667,Nadin Amizah,3
458,2023-11-06,Top,89.8,NewJeans,3
459,2023-11-06,Top,87.57142857142857,Noah Kahan,3
460,2023-11-06,Viral,68.33333333333333,ODUMODUBLVCK,3
461,2023-11-06,Top,59.0,OFFICIAL HIGE DANDISM,3
462,2023-11-06,Top,66.0,Obito,3
463,2023-11-06,Top,70.0,PRO8L3M,3
464,2023-11-06,Top,67.33333333333333,RACK,3
465,2023-11-06,Top,58.0,RAVA,3
466,2023-11-06,Top,67.0,RPT MCK,3
467,2023-11-06,Top,60.0,STEIN27,3
468,2023-11-06,Top,59.666666666666664,SadSvit,3
469,2023-11-06,Viral,79.88888888888889,Saiko,3
470,2023-11-06,Viral,76.21739130434783,Sherine,3
471,2023-11-06,Top,60.666666666666664,Tamer Ashour,3
472,2023-11-06,Viral,36.0,The Saint Cecilia,3
473,2023-11-06,Top,62.666666666666664,Tobias Rahim,3
474,2023-11-06,Top,57.333333333333336,Tuna,3
475,2023-11-06,Top,55.666666666666664,V $ X V PRiNCE,3
