,artist,artist_id,track_name,track_id,danceability,energy,tempo,speechiness,acousticness,instrumentalness,liveness,valence
38,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,No Rats This Time,3zx3awKqdA1ceUs05yDqZR,0.849,0.436,102.026,0.256,0.483,0.0,0.217,0.285
39,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,All My Members Are CEO,4RZh3IZ3rPWLsUUyTXiMVd,0.81,0.693,97.559,0.151,0.0319,4.41e-06,0.139,0.379
40,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,No Gletcher Gang,03TKjVsYvhCyaO9iAAVNve,0.876,0.642,140.046,0.249,0.0118,0.0,0.12,0.741
41,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Yes or No,2gkVEnpahpE3bQuvGuCpAV,0.671,0.839,83.845,0.0866,0.179,0.0,0.0748,0.882
42,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,Lost Angeles,11gTRcdz4wK32fghA2vrX7,0.788,0.544,75.474,0.324,0.141,0.0,0.0947,0.411
43,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Please Don't Change (feat. DJ Snake),0k0GtcnyQLMiXrdEDbLXmJ,0.797,0.743,114.878,0.174,0.164,1.2e-06,0.164,0.768
44,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Hate You,5ONOlTiqymhzwcFjqcIT6E,0.419,0.274,79.595,0.0314,0.862,0.0,0.092,0.25
45,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,Corner Close Day,5Pn50sP8DxgVEFxuacfaD2,0.812,0.668,99.945,0.282,0.281,0.000135,0.118,0.333
46,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Closer to You (feat. Major Lazer),06Qo2fYR2KS1F7bL338iVT,0.781,0.655,113.031,0.0457,0.114,0.00249,0.103,0.493
47,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,Sladki Snov Rapper 2,1lx65Q3Vfy8NsfaA5DXUcJ,0.869,0.481,99.886,0.255,0.798,0.000148,0.111,0.282
48,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Somebody,5KfJvZ0PZzRdwFRaTUDAA7,0.65,0.679,106.059,0.0477,0.286,0.0,0.136,0.256
49,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Shot Glass of Tears,7AbqgE05nFl9qY4FRUiq2p,0.507,0.394,77.955,0.035,0.508,0.0,0.0825,0.164
50,FRIENDLY THUG 52 NGG,5xtbUYHaOycg6HIi10EZdV,October,2gGqF2OroADoQPJnyYPpmm,0.734,0.493,84.775,0.425,0.725,0.0,0.109,0.676
51,KAROL G,790FomKkXshlbRYZFtlgla,MI EX TENÍA RAZÓN,54zcJnb3tp9c5OVKREZ1Is,0.634,0.725,159.845,0.0587,0.0776,0.0,0.211,0.795
52,KAROL G,790FomKkXshlbRYZFtlgla,AMARGURA,505v13epFXodT9fVAJ6h8k,0.92,0.696,106.966,0.0742,0.183,0.0,0.149,0.545
53,KAROL G,790FomKkXshlbRYZFtlgla,TQG,0DWdj2oZMBFSzRsi2Cvfzf,0.72,0.63,179.974,0.277,0.673,0.0,0.0936,0.607
54,KAROL G,790FomKkXshlbRYZFtlgla,UNA NOCHE EN MEDELLÍN - REMIX,0GJwUAlBMJTbY4VE7iE761,0.846,0.755,96.002,0.0738,0.0361,0.0,0.0448,0.883
55,KAROL G,790FomKkXshlbRYZFtlgla,OKI DOKI,4gJfPoMIcSDGY0tMGxm6Fu,0.843,0.728,106.015,0.0552,0.202,0.000219,0.313,0.581
56,Bad Bunny,4q3ewBCX7sLwd24euuV69X,WHERE SHE GOES,2sTDlCxmuZCTDKKk9f1qus,0.651,0.799,143.992,0.0611,0.143,0.634,0.112,0.223
57,Bad Bunny,4q3ewBCX7sLwd24euuV69X,MR. OCTOBER,1ODFVLQszq0hCOdZtqV5wq,0.805,0.612,126.013,0.172,0.188,1.96e-05,0.134,0.425
58,Bad Bunny,4q3ewBCX7sLwd24euuV69X,LOS PITS,7ucEkWU0SVy0XFdfXESgfY,0.751,0.669,93.705,0.445,0.442,2.11e-06,0.15,0.69
59,KAROL G,790FomKkXshlbRYZFtlgla,X SI VOLVEMOS,4NoOME4Dhf4xgxbHDT7VGe,0.794,0.807,178.003,0.326,0.334,0.0,0.104,0.575
60,Bad Bunny,4q3ewBCX7sLwd24euuV69X,CYBERTRUCK,4Jc7252S1P99DjQ1lNGEOc,0.704,0.905,151.823,0.338,0.371,2.09e-06,0.107,0.0991
61,KAROL G,790FomKkXshlbRYZFtlgla,S91,0BFQC00Y58JtjMyTXOJazO,0.644,0.711,128.225,0.377,0.632,1.91e-05,0.0898,0.381
