,artist,artist_id,track_name,track_id,danceability,energy,tempo,speechiness,acousticness,instrumentalness,liveness,valence
94,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Too Sad to Dance,3bNNvJA7hsGw0wSpGkfOBm,0.558,0.467,100.518,0.0809,0.611,0.0,0.105,0.563
95,Azahriah,6EIriUxo7vznEgJtTDlXpq,ceremónia,2IetMd5ZFurl1sjSAqhq2O,0.678,0.625,109.98,0.12,0.496,0.00168,0.295,0.361
96,Azahriah,6EIriUxo7vznEgJtTDlXpq,3korty,5ZY255MSISgMrvHmRZux1E,0.825,0.69,103.049,0.114,0.223,0.0,0.111,0.315
97,Azahriah,6EIriUxo7vznEgJtTDlXpq,introvertált dal,2EAvOY1uymm5ZAd0ZbnnPW,0.652,0.815,151.046,0.0606,0.126,0.0,0.109,0.823
98,Azahriah,6EIriUxo7vznEgJtTDlXpq,lost tiki,1VPU7SKdABCb3gNCNjMFIZ,0.711,0.691,98.002,0.0459,0.715,0.15,0.254,0.656
99,Azahriah,6EIriUxo7vznEgJtTDlXpq,valami amerikai,4MQDC8hquSlvTBq8gMoPPo,0.615,0.69,175.892,0.143,0.599,0.000782,0.181,0.296
100,Azahriah,6EIriUxo7vznEgJtTDlXpq,four moods,1o0TkBcMTkkOg1KUeB4riK,0.538,0.669,101.993,0.217,0.37,1.06e-06,0.13,0.198
101,Azahriah,6EIriUxo7vznEgJtTDlXpq,Pullup,6Rc6C6S4lgT5j1OekgI155,0.726,0.632,86.905,0.112,0.106,0.0,0.0923,0.289
102,Azahriah,6EIriUxo7vznEgJtTDlXpq,casa de papel,3UlXaigjBM3sHyOpDbh1RI,0.808,0.679,135.064,0.125,0.646,0.0147,0.115,0.511
103,Azahriah,6EIriUxo7vznEgJtTDlXpq,figyelj,1tAyEL10PQDcIvEL2o75wt,0.683,0.683,110.933,0.036,0.124,3.14e-06,0.159,0.234
104,Azahriah,6EIriUxo7vznEgJtTDlXpq,vicc,6bmTNiH8blviXxFDVoAuL7,0.668,0.677,163.934,0.236,0.304,0.00324,0.119,0.581
105,Azahriah,6EIriUxo7vznEgJtTDlXpq,Miafasz,7cU3vDXfkH4bAemYBxuoJT,0.696,0.707,87.478,0.217,0.368,0.0,0.111,0.506
106,Azahriah,6EIriUxo7vznEgJtTDlXpq,béke,000n6Lx4yqUAslF1x3JeFY,0.676,0.728,174.089,0.0965,0.395,0.0,0.0587,0.938
107,Azahriah,6EIriUxo7vznEgJtTDlXpq,gát,1Qzkw4QaTXbVd1TmDzSNOv,0.77,0.812,104.067,0.114,0.349,0.0,0.0876,0.563
108,Azahriah,6EIriUxo7vznEgJtTDlXpq,Mind1,7lemjnVRAqQtqqLdSqCKqM,0.741,0.658,103.942,0.0717,0.548,0.0,0.119,0.467
109,Azahriah,6EIriUxo7vznEgJtTDlXpq,Rét,5pYNDOTIoZZ5ab77vb8EO3,0.474,0.711,81.993,0.0862,0.438,0.0,0.107,0.722
110,Azahriah,6EIriUxo7vznEgJtTDlXpq,szosziazi,3DTF2AIcHMwZ1q1gz9zspi,0.771,0.615,105.993,0.19,0.135,0.000587,0.12,0.406
111,Azahriah,6EIriUxo7vznEgJtTDlXpq,bulbaba,7xdiiqtQPUXrKcd6BoFyYd,0.81,0.674,103.09,0.144,0.701,3.8e-05,0.095,0.242
112,Azahriah,6EIriUxo7vznEgJtTDlXpq,Tisztán iszom,1K17dNOOtcoC1gLcAbccPp,0.446,0.655,162.924,0.0439,0.644,0.0,0.199,0.894
113,Azahriah,6EIriUxo7vznEgJtTDlXpq,Habibi,38U5WKJpBQncqAss18dLrO,0.729,0.57,156.999,0.181,0.283,1.02e-06,0.0765,0.593
114,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Dvel ég í draumahöll,3ovhC4v5a73S0afcOHhnu2,0.729,0.15,120.043,0.0361,0.9,8.74e-06,0.102,0.397
115,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Litlar stjörnur,1l2AHO7bb47QGFKJmXhXMz,0.698,0.118,93.086,0.0298,0.912,0.0,0.116,0.552
116,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Sofðu unga ástin mín,0Xh9sOCT7ZvmKg8KthRYnH,0.617,0.11,127.658,0.0343,0.928,0.0,0.11,0.385
117,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Óskasteinar,5myQVDBhZvE7DIvsQICuKn,0.697,0.0953,79.866,0.0314,0.911,0.0,0.109,0.64
118,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Sofa urtubörn,1MWg9aH6OhteqF1RXR3J5w,0.715,0.091,119.95,0.0375,0.921,0.0,0.101,0.542
119,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Ljós,0RT86wBrufYQZSdN852Wjn,0.742,0.0915,146.165,0.0438,0.89,0.0,0.0926,0.813
120,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Bíum bíum bambaló,5pn6OskYybJrrqcdlNpBvk,0.777,0.1,99.979,0.0377,0.926,0.0,0.0947,0.641
121,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Ævintýralönd,1ZzSy8HeLFZAeuQi577bhB,0.627,0.123,73.551,0.0298,0.918,1.14e-05,0.0997,0.351
122,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Góða nótt,7nzeIh8kUdieUBLPXch9wi,0.797,0.175,99.902,0.0325,0.954,0.0,0.115,0.635
123,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Frost er úti fuglinn minn,1sgn8wmK2kuJrF9ppsnH2F,0.504,0.118,113.507,0.0392,0.937,0.0,0.0619,0.6
124,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Sofðu,51J0zLsmKb265vmylOJGMr,0.684,0.117,125.928,0.0349,0.935,0.0,0.0762,0.671
125,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Sólskin,3LP5YM7IMwmffWXPE1VBf1,0.747,0.149,85.049,0.0324,0.92,0.0,0.105,0.606
126,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Bí bí og blaka,2q2cdTPrbgWSxLFFXjjaoO,0.602,0.0242,96.834,0.0426,0.952,0.0,0.105,0.29
127,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Nóttin læðist inn,5TBNZCGMR1NJtJrrg606m0,0.716,0.124,120.015,0.0394,0.926,0.0,0.103,0.496
128,Hafdís Huld,1tNJibl39hvCIVSnGaiwx5,Þú ert,6xsUlQIjfduRdQt88yekZ5,0.581,0.19,78.347,0.031,0.828,2.57e-05,0.151,0.298
129,Salmo,3hBQ4zniNdQf1cqqo6hzuW,RESPIRA (feat. Marracash),2zuRZkoWxoNtKaA4Q44f44,0.718,0.925,124.967,0.343,0.135,0.0,0.234,0.653
130,Salmo,3hBQ4zniNdQf1cqqo6hzuW,ANTHEM,5RvYbjPoLlvFw60ZrSufCi,0.653,0.817,93.522,0.442,0.0943,0.0,0.297,0.496
131,Salmo,3hBQ4zniNdQf1cqqo6hzuW,CVLT (feat. Kid Yugi),6hANXZUS2wryG1zSocof7J,0.595,0.792,92.236,0.322,0.217,0.0,0.123,0.436
132,Salmo,3hBQ4zniNdQf1cqqo6hzuW,INCUBI,04Jt7tpjw9z0OugNDAZxnk,0.594,0.813,171.727,0.388,0.0709,0.0,0.551,0.598
133,Salmo,3hBQ4zniNdQf1cqqo6hzuW,CRINGE,0QdLe32rmGquRDdALuY92Q,0.607,0.81,93.93,0.293,0.0603,0.0,0.371,0.478
134,Salmo,3hBQ4zniNdQf1cqqo6hzuW,MY LOVE SONG 2 (feat. Coez & Frah Quintale),3ySS2RpQNWsN5T88sfilZb,0.584,0.865,79.567,0.342,0.154,0.0,0.102,0.703
135,Salmo,3hBQ4zniNdQf1cqqo6hzuW,MIRACOLO,2ioSGpzv91icuerCil1UZd,0.655,0.644,90.702,0.483,0.0518,1.79e-05,0.316,0.35
136,Salmo,3hBQ4zniNdQf1cqqo6hzuW,BRUJERIA,1bpLJUoNhsCLEZQ8CwBWEB,0.662,0.807,121.764,0.357,0.0499,4.21e-06,0.0674,0.579
137,Salmo,3hBQ4zniNdQf1cqqo6hzuW,CROCI € CRISTI,2PapS7vOF7plqO5pytAbEz,0.624,0.858,86.154,0.37,0.0308,0.0,0.306,0.446
138,Salmo,3hBQ4zniNdQf1cqqo6hzuW,KILOMETRI,2XRqWq9D4Eiz7poSMdPl59,0.731,0.617,92.694,0.404,0.166,0.0,0.123,0.681
139,Salmo,3hBQ4zniNdQf1cqqo6hzuW,MALEDETTI,4Niczbt1B1FtLb8wibdbR5,0.664,0.794,85.151,0.382,0.107,0.0,0.0799,0.543
140,Salmo,3hBQ4zniNdQf1cqqo6hzuW,GRINDHOUSE,0f8xn9s0xB87a3tph1xBpV,0.695,0.701,148.137,0.178,0.0142,7.96e-05,0.336,0.443
141,Salmo,3hBQ4zniNdQf1cqqo6hzuW,MATRIOSKA,1giUJwcL7smXRlwwdwu4Ya,0.778,0.638,128.034,0.131,0.0632,0.0,0.0485,0.54
142,Salmo,3hBQ4zniNdQf1cqqo6hzuW,NIGHTCRAWLERS,0aMyRYXZvXRcpZkFhCsOTs,0.881,0.796,109.977,0.158,0.0103,0.000753,0.115,0.252
143,Salmo,3hBQ4zniNdQf1cqqo6hzuW,LA FINE,63tPSdiPfIfFeE3xSPMYP7,0.571,0.571,138.878,0.117,0.373,0.0,0.317,0.72
144,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Style,4lIxdJw6W3Fg4vUIYCB0S5,0.598,0.786,95.019,0.0383,0.00253,0.0016,0.117,0.456
145,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Blank Space,1p80LdxRV74UKvL8gnD7ky,0.753,0.678,96.006,0.0644,0.085,1.64e-06,0.13,0.583
146,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,Do or Die,21ewxM3YvcdTj7cC0XwznO,0.6,0.819,124.908,0.0451,0.0287,0.0,0.308,0.645
147,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,Grain of Sand,4WUpMUjdoi47LY7gBQBXe3,0.515,0.346,130.043,0.0342,0.776,2.65e-05,0.119,0.107
148,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,London Boy,6auT8cRBu3BgPRBrdVBY15,0.52,0.875,133.096,0.0346,0.395,0.0,0.515,0.657
149,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,Polaroid,2tA3NP12r4niSRhb9Y6AoY,0.703,0.768,102.966,0.0289,0.532,0.0,0.117,0.534
150,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,If We Ever Meet Again,2RLdkXSaiQjRbey5pvP8Kt,0.401,0.394,129.74,0.0324,0.748,0.0,0.0993,0.327
151,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,Rainbow,50xSycnGMDy0Wg5jJcOv3S,0.641,0.889,96.033,0.0541,0.0394,0.0,0.181,0.616
152,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,"Our Blues, Our Life",2jidjmWNeRmKgLjXhW52Gz,0.381,0.405,130.94,0.0325,0.629,0.0,0.418,0.273
153,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,A bientot,4Cr43xPo7bwyCcL1g3yVCu,0.606,0.729,73.967,0.0804,0.268,0.0,0.271,0.527
154,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,I Love You,2lsRp40mCRkhqULWdMbOzn,0.635,0.442,110.862,0.0362,0.706,0.0,0.0929,0.609
155,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,A Psalm of Life,1E14FuM0BRaHAJSJ9YxMVu,0.279,0.515,139.694,0.0305,0.75,0.000114,0.188,0.173
156,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,Love Always Run Away,4rMEoXVYww6Xy7q9wSj4gy,0.404,0.443,131.298,0.0333,0.651,0.0,0.12,0.36
157,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,Lovely Touch,7x3SGAkfIrzDr9paSslwMv,0.372,0.551,105.104,0.0324,0.536,0.0,0.226,0.444
158,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,Father,365znJ27Fb3faGsctmQYWR,0.314,0.363,139.695,0.0289,0.765,0.0,0.189,0.243
159,KAROL G,790FomKkXshlbRYZFtlgla,GATITA GANGSTER,5bD6mFl116xCxVMLy7IK9F,0.826,0.552,96.981,0.144,0.167,6.23e-06,0.101,0.532
160,Taylor Swift,06HL4z0CvFAxyc27GXpf02,New Romantics (Taylor's Version),2vPMoMDXxu9uX1igWZmXSG,0.651,0.855,121.98,0.0538,0.0068,9.81e-06,0.0759,0.698
161,Taylor Swift,06HL4z0CvFAxyc27GXpf02,All You Had To Do Was Stay (Taylor's Version),6GXgd1BPD9bUpqw5AntGV5,0.586,0.72,97.057,0.035,0.000718,0.0,0.0949,0.481
162,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Clean (Taylor's Version),2ByBBvpR9b7IynvRmnG7kG,0.771,0.386,103.96,0.0297,0.276,2.01e-05,0.121,0.239
163,Taylor Swift,06HL4z0CvFAxyc27GXpf02,I Wish You Would (Taylor's Version),43y1WpBdnEy5TR9aZoSQL9,0.669,0.851,118.026,0.0432,0.00357,1.04e-05,0.0676,0.541
164,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover (Remix) [feat. Shawn Mendes],3i9UVldZOE0aD0JnyfAZZ0,0.448,0.603,205.272,0.064,0.433,0.0,0.0862,0.422
165,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,HERO,43u5DDtK4vQ1coWXb4S5a8,0.482,0.83,127.974,0.0544,0.08,0.0,0.256,0.4
166,KAROL G,790FomKkXshlbRYZFtlgla,MIENTRAS ME CURO DEL CORA,6otePxalBK8AVa20xhZYVQ,0.523,0.477,79.921,0.392,0.855,0.0,0.146,0.57
