,artist,upload_time,num_countries
117,Nasa Histoires,2023-11-06 10:43:30.354751,18
118,The Weeknd,2023-11-05 14:18:19.598429,18
119,The Weeknd,2023-11-06 10:43:30.354751,18
120,Tiagz,2023-11-05 14:18:19.598429,18
121,Tiagz,2023-11-06 10:43:30.354751,18
122,mafalda cardenal,2023-11-04 16:43:27.452336,18
123,mafalda cardenal,2023-11-05 14:18:19.598429,18
124,mafalda cardenal,2023-11-06 10:43:30.354751,18
125,Bizarrap,2023-11-04 16:43:27.452336,17
126,Bizarrap,2023-11-05 14:18:19.598429,17
127,Bizarrap,2023-11-06 10:43:30.354751,17
128,Feid,2023-11-04 16:43:27.452336,17
129,Feid,2023-11-05 14:18:19.598429,17
130,Feid,2023-11-06 10:43:30.354751,17
131,Flowdan,2023-11-04 16:43:27.452336,17
132,La Pirris,2023-11-04 16:43:27.452336,17
133,La Pirris,2023-11-05 14:18:19.598429,17
134,La Pirris,2023-11-06 10:43:30.354751,17
135,Myles Smith,2023-11-04 16:43:27.452336,17
136,Quevedo,2023-11-04 16:43:27.452336,17
137,Quevedo,2023-11-05 14:18:19.598429,17
138,Quevedo,2023-11-06 10:43:30.354751,17
139,The Weeknd,2023-11-04 16:43:27.452336,17
140,Tiagz,2023-11-04 16:43:27.452336,17
141,Tom Odell,2023-11-06 10:43:30.354751,17
142,Britney Manson,2023-11-05 14:18:19.598429,16
143,Britney Manson,2023-11-06 10:43:30.354751,16
144,Calle 24,2023-11-05 14:18:19.598429,16
145,Calle 24,2023-11-06 10:43:30.354751,16
146,Dave,2023-11-05 14:18:19.598429,16
147,Dua Lipa,2023-11-04 16:43:27.452336,16
148,Flowdan,2023-11-05 14:18:19.598429,16
149,Flowdan,2023-11-06 10:43:30.354751,16
150,Grupo Frontera,2023-11-04 16:43:27.452336,16
151,Grupo Frontera,2023-11-05 14:18:19.598429,16
152,Grupo Frontera,2023-11-06 10:43:30.354751,16
153,Lord Huron,2023-11-06 10:43:30.354751,16
154,Rio Romeo,2023-11-05 14:18:19.598429,16
155,Rio Romeo,2023-11-06 10:43:30.354751,16
156,SHADXWLXRD,2023-11-04 16:43:27.452336,16
157,The Beatles,2023-11-04 16:43:27.452336,16
158,Tom Odell,2023-11-05 14:18:19.598429,16
159,Arctic Monkeys,2023-11-06 10:43:30.354751,15
160,Calle 24,2023-11-04 16:43:27.452336,15
161,Dei V,2023-11-04 16:43:27.452336,15
162,Dei V,2023-11-05 14:18:19.598429,15
163,Dei V,2023-11-06 10:43:30.354751,15
164,Gunna,2023-11-04 16:43:27.452336,15
165,Gunna,2023-11-05 14:18:19.598429,15
166,Jhayco,2023-11-04 16:43:27.452336,15
167,Jhayco,2023-11-05 14:18:19.598429,15
168,Jhayco,2023-11-06 10:43:30.354751,15
169,Mariah Carey,2023-11-06 10:43:30.354751,15
170,Mark Ambor,2023-11-04 16:43:27.452336,15
171,Myles Smith,2023-11-05 14:18:19.598429,15
172,Myles Smith,2023-11-06 10:43:30.354751,15
173,The Beatles,2023-11-05 14:18:19.598429,15
174,Tom Odell,2023-11-04 16:43:27.452336,15
175,Underground,2023-11-04 16:43:27.452336,15
176,Underground,2023-11-05 14:18:19.598429,15
177,Underground,2023-11-06 10:43:30.354751,15
178,april27,2023-11-05 14:18:19.598429,15
179,april27,2023-11-06 10:43:30.354751,15
180,Becky G,2023-11-04 16:43:27.452336,14
181,Billie Eilish,2023-11-06 10:43:30.354751,14
182,Dave,2023-11-04 16:43:27.452336,14
183,Dave,2023-11-06 10:43:30.354751,14
184,Gunna,2023-11-06 10:43:30.354751,14
185,Guns N' Roses,2023-11-04 16:43:27.452336,14
186,Guns N' Roses,2023-11-05 14:18:19.598429,14
187,Guns N' Roses,2023-11-06 10:43:30.354751,14
188,JaidynAlexis,2023-11-04 16:43:27.452336,14
189,JaidynAlexis,2023-11-05 14:18:19.598429,14
190,JaidynAlexis,2023-11-06 10:43:30.354751,14
191,K.A.D,2023-11-04 16:43:27.452336,14
192,K.A.D,2023-11-05 14:18:19.598429,14
193,K.A.D,2023-11-06 10:43:30.354751,14
194,Katteyes,2023-11-04 16:43:27.452336,14
195,Maluma,2023-11-04 16:43:27.452336,14
196,Maluma,2023-11-05 14:18:19.598429,14
197,Maluma,2023-11-06 10:43:30.354751,14
198,Olivia Rodrigo,2023-11-04 16:43:27.452336,14
199,Rio Romeo,2023-11-04 16:43:27.452336,14
200,Tems,2023-11-04 16:43:27.452336,14
201,The Beatles,2023-11-06 10:43:30.354751,14
202,april27,2023-11-04 16:43:27.452336,14
203,Arctic Monkeys,2023-11-05 14:18:19.598429,13
204,Bad Gyal,2023-11-05 14:18:19.598429,13
205,Bad Gyal,2023-11-06 10:43:30.354751,13
206,Becky G,2023-11-05 14:18:19.598429,13
207,Becky G,2023-11-06 10:43:30.354751,13
208,Billie Eilish,2023-11-04 16:43:27.452336,13
