,track_id,danceability,energy,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,upload_time
0,2HafqoJbgXdtjwCOvNEF14,0.537,0.421,1,0.0285,0.827,0.0,0.138,0.524,98.224,5,2023-11-05 22:32:55.023995
1,4MjDJD8cW7iVeWInc2Bdyj,0.787,0.621,0,0.068,0.15,0.000402,0.58,0.13,139.056,4,2023-11-05 22:32:55.023995
2,31nfdEooLEq7dn3UMcIeB5,0.634,0.824,0,0.047,0.0908,0.0711,0.119,0.371,137.959,2,2023-11-05 22:32:55.023995
3,6gMj2DzKR2PjrrbNSwcGFR,0.813,0.866,1,0.0851,0.17,0.0,0.0421,0.647,99.994,7,2023-11-05 22:32:55.023995
4,3tPPP39TSamzLPOJomKALp,0.679,0.556,1,0.148,0.181,0.0,0.108,0.583,169.997,10,2023-11-05 22:32:55.023995
5,5hyKw9bjqXCcIxAoDmAxMJ,0.724,0.537,0,0.0703,0.667,0.000122,0.109,0.219,125.142,4,2023-11-05 22:32:55.023995
6,5xSt1wxZobFcLzHrFakv6z,0.616,0.673,1,0.0327,0.563,0.0,0.122,0.21,99.971,2,2023-11-05 22:32:55.023995
7,0p0cOpBujR114Wirv5AM7W,0.711,0.718,1,0.0994,0.379,0.0,0.119,0.689,159.953,1,2023-11-05 22:32:55.023995
8,51QmqegeWI2orK2mzDfnIH,0.884,0.718,0,0.0763,0.0406,4.69e-05,0.287,0.729,139.991,1,2023-11-05 22:32:55.023995
9,7iQXYTyuG13aoeHxGG28Nh,0.911,0.778,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,5,2023-11-05 22:32:55.023995
10,6JI15EdgbGuhUjm4tWyIco,0.798,0.681,0,0.0722,0.219,0.00197,0.137,0.434,101.005,10,2023-11-05 22:32:55.023995
11,3nNmRE0DxHC6ZaKkrpUumS,0.847,0.724,1,0.298,0.0869,1.11e-06,0.118,0.396,94.601,1,2023-11-05 22:32:55.023995
12,6KHxe3Yj8W8oq3zviUvJRe,0.73,0.87,0,0.0561,0.0272,2.9e-06,0.45,0.184,132.011,1,2023-11-05 22:32:55.023995
13,559YUIWxUc8Mx4lsla13Ff,0.711,0.752,0,0.2,0.191,0.0106,0.338,0.528,145.047,7,2023-11-05 22:32:55.023995
14,4qSEvFGCpde73gqIuq3sho,0.801,0.645,0,0.0706,0.604,0.0,0.118,0.528,119.935,6,2023-11-05 22:32:55.023995
15,0sfk352FO8bJUjWjIsyzSR,0.722,0.519,1,0.297,0.555,0.0,0.118,0.779,170.058,8,2023-11-05 22:32:55.023995
16,1YnChEM51BVZ5dRhbVFEMl,0.706,0.566,0,0.126,0.268,1.02e-06,0.111,0.23,125.876,6,2023-11-05 22:32:55.023995
17,0goXAEnjWhssHU0y9Zyqyf,0.643,0.651,0,0.601,0.142,0.0,0.103,0.324,130.019,7,2023-11-05 22:32:55.023995
18,4sDpxaulErbJ9NBaJDC7cJ,0.625,0.755,1,0.0724,0.247,0.0,0.124,0.429,87.948,8,2023-11-05 22:32:55.023995
19,5nSUskJwcSRFS9dIqrVfrv,0.557,0.744,1,0.344,0.481,0.0,0.666,0.7,100.247,1,2023-11-05 22:32:55.023995
20,3b6waQzXeYty0R6EDAv0po,0.806,0.578,0,0.191,0.568,0.0,0.165,0.769,143.054,6,2023-11-05 22:32:55.023995
21,0QRHOAeU8JRaVVn3UoZBih,0.724,0.578,1,0.0819,0.632,1.06e-06,0.0943,0.757,167.985,10,2023-11-05 22:32:55.023995
22,5mjYQaktjmjcMKcUIcqz4s,0.628,0.523,0,0.0946,0.701,0.00274,0.219,0.416,169.982,11,2023-11-05 22:32:55.023995
23,23d8v6tU6lR77pFKsApMtF,0.529,0.711,0,0.0669,0.572,0.0,0.0799,0.582,170.305,11,2023-11-05 22:32:55.023995
24,1iLbUmb2b2btyAAcQ68a1p,0.795,0.553,0,0.244,0.527,2.84e-06,0.112,0.739,124.109,4,2023-11-05 22:32:55.023995
25,4SW9gHnW8NfKOdqmh0ij45,0.801,0.517,0,0.269,0.494,1.45e-06,0.355,0.923,160.254,2,2023-11-05 22:32:55.023995
26,5RqSsdzTNPX1uzkmlHCFvK,0.841,0.738,0,0.307,0.52,0.0,0.0892,0.484,169.918,7,2023-11-05 22:32:55.023995
27,5IlLm20JXhKbMtsH20NblC,0.807,0.49,0,0.213,0.522,0.0,0.502,0.739,80.522,8,2023-11-05 22:32:55.023995
28,59NraMJsLaMCVtwXTSia8i,0.638,0.717,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,8,2023-11-05 22:32:55.023995
29,0FLh1ZDsjnoACzBrAVjXT2,0.587,0.732,1,0.0378,0.000739,0.0,0.0846,0.656,119.938,8,2023-11-05 22:32:55.023995
30,1Hs1uUl8o2VtDp1DABFq0O,0.813,0.682,1,0.0402,0.107,0.0,0.108,0.634,120.011,0,2023-11-05 22:32:55.023995
31,6XbtvPmIpyCbjuT0e8cQtp,0.668,0.712,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,5,2023-11-05 22:32:55.023995
32,4pcafPzLDSqQktqSpxHL3E,0.552,0.744,0,0.124,0.496,0.0,0.112,0.627,156.027,4,2023-11-05 22:32:55.023995
33,0Me3GyNuLOa1YTIxhJPyCn,0.823,0.882,0,0.0556,0.688,1.7e-06,0.107,0.963,128.044,3,2023-11-05 22:32:55.023995
34,5ixdmTpCmH5diBA1j154wN,0.795,0.815,1,0.0821,0.0368,3.82e-05,0.227,0.334,94.991,1,2023-11-05 22:32:55.023995
35,2df5CkXBJO7jTGXm54dFJy,0.765,0.659,0,0.0825,0.0892,3.83e-05,0.149,0.567,132.066,11,2023-11-05 22:32:55.023995
36,56y1jOTK0XSvJzVv9vHQBK,0.864,0.556,0,0.194,0.255,3.85e-06,0.112,0.726,99.974,2,2023-11-05 22:32:55.023995
37,5aIVCx5tnk0ntmdiinnYvw,0.673,0.722,0,0.0755,0.0856,0.0,0.137,0.519,117.187,3,2023-11-05 22:32:55.023995
